BTC_ADDRESS,CONTRIBUTION_AMOUNT,BLOCK_HASH,POLKADOT_ADDRESS
1FA11Ng6KhPG5U4NH6ZPKCJL6By8PNnoDG,30884040,4688e0a51cdae810a50a18320f7c2951fbfff0fca68fc2802f2f99427e48b888,14N3y7TPiMrsJqPyMSg78MeUw4pUpfCiH2tFbDVcqwDDdJL9
16s3MEnAxD4mD2GkYLLJ9QcUpmn8SorW4W,6600000,2555672bb5f71f9a027c8cdab327dbc3f48520dc478cadc29b7a95cac00db5ee,155z5dwx3cK6Gzi6LLhUrcw94PDZGW5e7ainqjzeb3DJhn9p
14KzimGKDna3FRXodvitcJxtdsGN5vnwPU,4000000,e3c0079dcc87a9cc63cf20d1b05eede6eadef5338e1916ca29d4cbe52b268082,17QWMqfacZa2ePQGFnnDcC3MuiBX5qhtyj7tqco5d8U7mS7
1ExKKgka7JmX8G1685sS5wrmCDwsubgM6o,1569357,826e80fddf84cbae008df57fed2826fc9bbbd7ca9bbfa768a1b0589f23519bb7,13dTHGBs74p7zz5ouWCnMmTgZbkEyMNxgaQ6YHaDLM54h1uj
12ZnSx8Sxegb1qxGeEssuDQEnN9wzuscVD,1992628,e58083a168a11c0fc100ccde6a31e20cab1a44600edc66cef3cbfe20369bb1ee,13Gpi5EsErQeyHWRKHdqh2jcmAvAywsB4JyR8wBEmWjdekZH
18dwDvXuqKjhA9CZF8p5zKUszjcgVhkoJc,100000000,655b0debf6534fef52f80f80d00b4659be68b1984d1b256088b122d22db8e082,16CdHjb4nxVwF6uwmPm6A29pc4ubnLiY7UqasMxt7cT9BcoK
13AYZBAPfTrEJbkqy8mf3u6U79StEhHXQj,13480000,5f6722c09392e1abbdf7c719c3e8847eaae949a96feb5166f17a573bc1bb476f,14idqEDTezbNSQE4Zn5T8rrfKxVboMXuaiV8UkeSsMVMug4L
1Ds9bT9eWkXc6QHxioikxScrYh99rzARaX,1518356,bd813a6055e73f7eff23e825727bb52a35607e2d930e1304f9107925faa3873e,14Fst5uCLEP9ZBkaXuaf5j6DToLFqzsU2XqLzYLxwLwpuEf3
1BTAXLEe1PHPrtMFCgvFdzqfvdVT3QMeN,50000000,dd6f83c89e5ca8e0bca610715ecb5ce4cecb32e8dd39854b0389095a3a03e72d,14gYRjn6fn5hu45zEAtXodPDbtaditK8twoWUXFi6DsLwd31
14U2i8JSRXMMcHpWT2QByk1y9wahmEeoMp,5497000,224410b7beb2dfde9968b8ba859aa858fdb79cacc46b3891a6044c3ac7735b0f,12NxGgb5vsuKvgDdkcP9WaUbEEuZVYQFWNkn1NqywhDkStWp
17TPZpwZzxsXSgxnMUK4LM9sFhjoUH1WTe,10223239,7e6ec633a6cd1d9c03f47bb39c903d5cbd6bc90646aa4272f22c4c6fb42f6d8b,16VC5WBQqniMyPVuT8cZP98eCRrCyMMbumoRyvWKQkx7nzxL
12gxC8QwCb9BBmRE1vttr9XDHQFLuTnNBA,70000000,97d29c53a4efbfefff1176592b2c1472f83d7a3484f5bffc7617627d904c3a72,14yp93MH4ws7hj6gscP1eLAh3ozyhwkDz2TVWYG97ZKg9uYe
1JxWN8usHBkyD8co9YuNjMkQFTFvmKM49F,30000000,96c55cb908d769caa854bdcfc8d87713d15421308ba56cd70948dd891ad76520,15i1W5RcfiF7bR1uJWd6CkfBLou2d4x6TNX7h76H3kKsVk9U
